Run,M1_total_size,M2_total_size,M3_total_size,M4_total_size,M1_gen_time,M2_gen_time,M3_gen_time,M4_gen_time,Total_Exchange_time,Method
1,43,398,373,9,0.02,0.009,8.159,0.01,8.34,0
2,43,398,373,9,0.018,0.009,6.871,0.009,7.037,0
3,43,398,373,9,0.018,0.009,7.234,0.008,7.377,0
4,43,398,373,9,0.02,0.007,6.552,0.014,6.707,0
5,43,398,373,9,0.017,0.009,7.247,0.013,7.425,0
6,43,398,373,9,0.031,0.011,9.35,0.009,9.534,0
7,43,398,373,9,0.016,0.009,7.09,0.008,7.251,0
8,43,398,373,9,0.018,0.008,6.692,0.011,6.848,0
9,43,398,373,9,0.017,0.006,6.635,0.016,6.8,0
10,43,398,373,9,0.018,0.008,6.496,0.007,6.64,0
11,43,398,373,9,0.019,0.006,6.865,0.01,7.018,0
12,43,398,373,9,0.018,0.009,6.749,0.013,6.91,0
13,43,398,373,9,0.019,0.007,6.765,0.011,6.921,0
14,43,398,373,9,0.02,0.01,7.739,0.011,7.934,0
15,43,398,373,9,0.018,0.007,6.667,0.008,6.803,0
16,43,398,373,9,0.017,0.007,7.347,0.015,7.51,0
17,43,398,373,9,0.016,0.008,6.634,0.011,6.797,0
18,43,398,373,9,0.016,0.005,9.079,0.011,9.244,0
19,43,398,373,9,0.015,0.008,6.638,0.007,6.779,0
20,43,398,373,9,0.019,0.008,6.904,0.013,7.073,0
21,43,398,373,9,0.021,0.007,6.634,0.01,6.798,0
22,43,398,373,9,0.02,0.008,7.254,0.014,7.425,0
23,43,398,373,9,0.018,0.008,7.549,0.01,7.694,0
24,43,398,373,9,0.017,0.008,6.794,0.011,6.973,0
25,43,398,373,9,0.016,0.006,6.442,0.011,6.609,0
26,43,398,373,9,0.016,0.008,6.636,0.009,6.787,0
27,43,398,373,9,0.017,0.006,6.708,0.01,6.86,0
28,43,398,373,9,0.018,0.008,6.614,0.013,6.775,0
29,43,398,373,9,0.019,0.01,6.841,0.009,7.007,0
30,43,398,373,9,0.017,0.009,7.738,0.009,7.896,0
31,43,398,373,9,0.021,0.01,6.731,0.011,6.916,0
32,43,398,373,9,0.021,0.011,7.446,0.011,7.632,0
33,43,398,373,9,0.019,0.013,6.97,0.015,7.139,0
34,43,398,373,9,0.016,0.009,7.243,0.01,7.409,0
35,43,398,373,9,0.017,0.006,6.682,0.012,6.844,0
36,43,398,373,9,0.021,0.007,6.864,0.012,7.029,0
37,43,398,373,9,0.016,0.01,6.942,0.016,7.097,0
38,43,398,373,9,0.031,0.01,7.634,0.01,7.816,0
39,43,398,373,9,0.019,0.008,6.904,0.01,7.08,0
40,43,398,373,9,0.018,0.009,7.321,0.011,7.499,0
41,43,398,373,9,0.023,0.01,6.741,0.013,6.918,0
42,43,398,373,9,0.019,0.013,7.074,0.009,7.235,0
43,43,398,373,9,0.018,0.006,7.548,0.01,7.71,0
44,43,398,373,9,0.019,0.009,6.845,0.012,7.012,0
45,43,398,373,9,0.017,0.015,6.897,0.008,7.062,0
46,43,398,373,9,0.015,0.012,6.79,0.009,6.929,0
47,43,398,373,9,0.018,0.01,6.662,0.011,6.82,0
48,43,398,373,9,0.018,0.009,6.887,0.013,7.053,0
49,43,398,373,9,0.021,0.054,7.079,0.009,7.285,0
50,43,398,373,9,0.016,0.011,8.261,0.012,8.441,0
