Run,M1_total_size,M2_total_size,M3_total_size,M4_total_size,M1_gen_time,M2_gen_time,M3_gen_time,M4_gen_time,Total_Exchange_time,Method
1,43,44,9,9,0.018,0.011,2.188,0.006,2.342,4
2,43,44,9,9,0.02,0.01,2.091,0.004,2.211,4
3,43,44,9,9,0.018,0.005,2.161,0.003,2.275,4
4,43,44,9,9,0.016,0.003,1.9,0.006,2.034,4
5,43,44,9,9,0.018,0.008,2.033,0.006,2.152,4
6,43,44,9,9,0.018,0.005,1.809,0.005,1.918,4
7,43,44,9,9,0.017,0.009,2.157,0.004,2.273,4
8,43,44,9,9,0.018,0.006,1.864,0.005,1.989,4
9,43,44,9,9,0.016,0.007,1.867,0.007,2,4
10,43,44,9,9,0.018,0.005,2,0.005,2.125,4
11,43,44,9,9,0.018,0.006,1.885,0.006,2.01,4
12,43,44,9,9,0.018,0.005,1.831,0.005,1.948,4
13,43,44,9,9,0.019,0.036,2.027,0.004,2.172,4
14,43,44,9,9,0.016,0.006,1.911,0.006,2.04,4
15,43,44,9,9,0.022,0.005,1.951,0.006,2.079,4
16,43,44,9,9,0.019,0.008,1.851,0.005,1.969,4
17,43,44,9,9,0.021,0.004,1.994,0.004,2.108,4
18,43,44,9,9,0.017,0.007,1.96,0.007,2.082,4
19,43,44,9,9,0.018,0.003,1.945,0.006,2.06,4
20,43,44,9,9,0.021,0.008,2.022,0.004,2.142,4
21,43,44,9,9,0.017,0.01,1.899,0.003,2.021,4
22,43,44,9,9,0.016,0.007,2.025,0.006,2.148,4
23,43,44,9,9,0.02,0.006,1.857,0.005,1.993,4
24,43,44,9,9,0.023,0.008,1.842,0.004,1.967,4
25,43,44,9,9,0.02,0.008,1.787,0.005,1.919,4
26,43,44,9,9,0.017,0.008,2.133,0.005,2.251,4
27,43,44,9,9,0.031,0.017,2.276,0.004,2.456,4
28,43,44,9,9,0.017,0.008,1.89,0.006,2.026,4
29,43,44,9,9,0.02,0.012,2.06,0.008,2.223,4
30,43,44,9,9,0.02,0.006,2.015,0.01,2.173,4
31,43,44,9,9,0.019,0.01,2.35,0.005,2.49,4
32,43,44,9,9,0.018,0.007,1.769,0.004,1.948,4
33,43,44,9,9,0.02,0.008,1.875,0.007,2.016,4
34,43,44,9,9,0.018,0.01,2.745,0.006,2.878,4
35,43,44,9,9,0.026,0.014,1.987,0.004,2.138,4
36,43,44,9,9,0.017,0.008,2.121,0.004,2.235,4
37,43,44,9,9,0.019,0.006,1.956,0.003,2.074,4
38,43,44,9,9,0.017,0.006,1.915,0.004,2.039,4
39,43,44,9,9,0.017,0.006,1.847,0.006,1.968,4
40,43,44,9,9,0.016,0.006,2.02,0.004,2.115,4
41,43,44,9,9,0.016,0.004,1.939,0.005,2.049,4
42,43,44,9,9,0.016,0.006,1.923,0.005,2.047,4
43,43,44,9,9,0.017,0.028,1.978,0.005,2.114,4
44,43,44,9,9,0.021,0.011,2.04,0.005,2.167,4
45,43,44,9,9,0.021,0.008,1.868,0.004,1.995,4
46,43,44,9,9,0.02,0.007,1.933,0.005,2.064,4
47,43,44,9,9,0.017,0.007,1.958,0.004,2.076,4
48,43,44,9,9,0.018,0.008,1.875,0.004,1.989,4
49,43,44,9,9,0.019,0.008,1.849,0.005,1.975,4
50,43,44,9,9,0.016,0.004,1.861,0.004,1.972,4
51,43,44,9,9,0.021,0.007,1.955,0.008,2.084,4
52,43,44,9,9,0.019,0.007,2.14,0.005,2.273,4
53,43,44,9,9,0.029,0.008,2.522,0.005,2.689,4
54,43,44,9,9,0.016,0.007,1.9,0.005,2.02,4
55,43,44,9,9,0.017,0.005,1.783,0.009,1.907,4
56,43,44,9,9,0.017,0.007,1.849,0.005,1.974,4
57,43,44,9,9,0.018,0.004,1.87,0.006,1.994,4
58,43,44,9,9,0.016,0.007,2.043,0.006,2.155,4
59,43,44,9,9,0.019,0.008,2.111,0.006,2.248,4
60,43,44,9,9,0.017,0.012,1.992,0.008,2.115,4
61,43,44,9,9,0.018,0.008,1.836,0.004,1.955,4
62,43,44,9,9,0.02,0.008,1.936,0.006,2.065,4
63,43,44,9,9,0.017,0.008,2,0.003,2.108,4
64,43,44,9,9,0.02,0.006,1.937,0.008,2.117,4
65,43,44,9,9,0.018,0.006,1.928,0.004,2.041,4
66,43,44,9,9,0.015,0.008,2.01,0.004,2.121,4
67,43,44,9,9,0.02,0.029,1.921,0.006,2.069,4
68,43,44,9,9,0.017,0.005,1.81,0.008,1.951,4
69,43,44,9,9,0.017,0.007,1.842,0.004,1.952,4
70,43,44,9,9,0.018,0.007,1.922,0.009,2.103,4
71,43,44,9,9,0.02,0.006,1.975,0.004,2.093,4
72,43,44,9,9,0.017,0.008,1.867,0.004,1.982,4
73,43,44,9,9,0.017,0.007,2.004,0.003,2.112,4
74,43,44,9,9,0.021,0.029,1.928,0.005,2.086,4
75,43,44,9,9,0.022,0.007,1.849,0.007,1.989,4
76,43,44,9,9,0.016,0.005,1.925,0.006,2.038,4
77,43,44,9,9,0.017,0.009,2.015,0.005,2.133,4
78,43,44,9,9,0.019,0.007,2.035,0.006,2.174,4
79,43,44,9,9,0.02,0.005,1.937,0.003,2.046,4
80,43,44,9,9,0.019,0.006,1.916,0.003,2.046,4
81,43,44,9,9,0.018,0.007,1.845,0.004,1.956,4
82,43,44,9,9,0.021,0.006,2.248,0.019,2.434,4
83,43,44,9,9,0.022,0.008,1.954,0.005,2.089,4
84,43,44,9,9,0.017,0.007,1.825,0.004,1.944,4
85,43,44,9,9,0.02,0.028,1.958,0.006,2.097,4
86,43,44,9,9,0.019,0.005,1.92,0.003,2.029,4
87,43,44,9,9,0.017,0.006,1.958,0.006,2.09,4
88,43,44,9,9,0.017,0.006,1.878,0.006,1.994,4
89,43,44,9,9,0.017,0.006,1.848,0.004,1.954,4
90,43,44,9,9,0.016,0.006,1.917,0.007,2.045,4
91,43,44,9,9,0.018,0.008,1.988,0.004,2.115,4
92,43,44,9,9,0.018,0.007,1.998,0.008,2.141,4
93,43,44,9,9,0.018,0.005,1.816,0.006,1.941,4
94,43,44,9,9,0.019,0.006,1.809,0.004,1.912,4
95,43,44,9,9,0.017,0.008,1.999,0.006,2.132,4
96,43,44,9,9,0.017,0.004,2.072,0.006,2.199,4
97,43,44,9,9,0.018,0.007,1.961,0.004,2.08,4
98,43,44,9,9,0.021,0.005,1.985,0.006,2.122,4
99,43,44,9,9,0.018,0.006,1.785,0.004,1.892,4
100,43,44,9,9,0.018,0.012,2.121,0.003,2.24,4
,,,,,0.01858,0.00825,1.96683,0.00533,2.09501,
