Run,M1_total_size,M2_total_size,M3_total_size,M4_total_size,M1_gen_time,M2_gen_time,M3_gen_time,M4_gen_time,Total_Exchange_time,Method
1,43,398,373,9,0.018,0.006,6.816,0.011,6.985,0
2,43,398,373,9,0.020,0.031,7.221,0.008,7.407,0
3,43,398,373,9,0.018,0.006,6.654,0.020,6.787,0
4,43,398,373,9,0.021,0.068,6.604,0.007,6.799,0
5,43,398,373,9,0.018,0.013,7.077,0.011,7.255,0
6,43,398,373,9,0.019,0.009,6.712,0.009,6.872,0
7,43,398,373,9,0.017,0.005,6.514,0.024,6.659,0
8,43,398,373,9,0.017,0.004,6.546,0.004,6.660,0
9,43,398,373,9,0.020,0.005,6.580,0.014,6.703,0
10,43,398,373,9,0.017,0.004,6.645,0.003,6.747,0
11,43,398,373,9,0.017,0.026,6.512,0.022,6.665,0
12,43,398,373,9,0.016,0.008,6.301,0.004,6.432,0
13,43,398,373,9,0.017,0.028,6.470,0.027,6.632,0
14,43,398,373,9,0.016,0.004,6.364,0.003,6.473,0
15,43,398,373,9,0.017,0.006,6.575,0.022,6.718,0
16,43,398,373,9,0.022,0.007,6.539,0.022,6.676,0
17,43,398,373,9,0.017,0.005,6.687,0.024,6.826,0
18,43,398,373,9,0.016,0.029,6.772,0.011,6.931,0
19,43,398,373,9,0.019,0.004,6.656,0.018,6.787,0
20,43,398,373,9,0.018,0.005,6.520,0.006,6.638,0
21,43,398,373,9,0.019,0.005,6.624,0.022,6.764,0
22,43,398,373,9,0.024,0.007,6.462,0.007,6.607,0
23,43,398,373,9,0.022,0.006,6.696,0.023,6.830,0
24,43,398,373,9,0.017,0.025,6.684,0.035,6.855,0
25,43,398,373,9,0.016,0.005,6.554,0.003,6.670,0
26,43,398,373,9,0.017,0.004,6.507,0.024,6.639,0
27,43,398,373,9,0.017,0.032,6.655,0.024,6.815,0
28,43,398,373,9,0.017,0.006,6.590,0.019,6.740,0
29,43,398,373,9,0.016,0.005,6.413,0.007,6.541,0
30,43,398,373,9,0.015,0.004,6.447,0.007,6.584,0
31,43,398,373,9,0.016,0.005,6.674,0.004,6.807,0
32,43,398,373,9,0.017,0.004,6.573,0.016,6.711,0
33,43,398,373,9,0.017,0.007,6.443,0.007,6.569,0
