Run,M1_total_size,M2_total_size,M3_total_size,M4_total_size,M1_gen_time,M2_gen_time,M3_gen_time,M4_gen_time,Total_Exchange_time,Method
1,38,45,19,9,0.017,0.005,5.458,0.003,5.600,3
2,38,45,19,9,0.016,0.012,5.973,0.010,6.150,3
3,38,45,19,9,0.019,0.004,5.452,0.004,5.567,3
4,38,45,19,9,0.031,0.014,7.023,0.013,7.267,3
5,38,45,19,9,0.015,0.004,5.249,0.020,5.369,3
6,38,45,19,9,0.018,0.007,5.919,0.006,6.076,3
7,38,45,19,9,0.019,0.008,5.672,0.011,5.849,3
8,38,45,19,9,0.017,0.007,6.365,0.009,6.523,3
9,38,45,19,9,0.016,0.007,5.532,0.024,5.667,3
10,38,45,19,9,0.016,0.004,5.574,0.019,5.695,3
11,38,45,19,9,0.017,0.027,5.420,0.003,5.539,3
12,38,45,19,9,0.017,0.007,5.954,0.004,6.065,3
13,38,45,19,9,0.017,0.007,5.596,0.006,5.727,3
14,38,45,19,9,0.015,0.026,5.587,0.020,5.737,3
15,38,45,19,9,0.028,0.007,5.660,0.020,5.806,3
16,38,45,19,9,0.021,0.007,5.550,0.004,5.677,3
17,38,45,19,9,0.018,0.028,5.507,0.004,5.653,3
18,38,45,19,9,0.018,0.005,5.506,0.025,5.641,3
19,38,45,19,9,0.016,0.022,5.591,0.025,5.739,3
20,38,45,19,9,0.018,0.004,5.539,0.006,5.655,3
21,38,45,19,9,0.017,0.028,5.647,0.004,5.796,3
22,38,45,19,9,0.018,0.006,5.695,0.024,5.827,3
23,38,45,19,9,0.017,0.005,5.545,0.004,5.663,3
24,38,45,19,9,0.016,0.005,5.417,0.020,5.533,3
25,38,45,19,9,0.017,0.004,5.262,0.003,5.394,3
26,38,45,19,9,0.015,0.004,5.434,0.003,5.547,3
27,38,45,19,9,0.017,0.006,5.768,0.024,5.898,3
28,38,45,19,9,0.017,0.005,5.522,0.015,5.649,3
29,38,45,19,9,0.015,0.007,5.699,0.003,5.808,3
30,38,45,19,9,0.015,0.005,5.670,0.021,5.801,3
31,38,45,19,9,0.016,0.033,5.583,0.005,5.731,3
32,38,45,19,9,0.016,0.009,5.445,0.004,5.576,3
33,38,45,19,9,0.018,0.005,5.601,0.004,5.718,3
34,38,45,19,9,0.016,0.005,5.513,0.021,5.643,3
35,38,45,19,9,0.018,0.006,5.556,0.023,5.683,3
36,38,45,19,9,0.016,0.005,5.342,0.021,5.469,3
37,38,45,19,9,0.018,0.004,5.487,0.028,5.621,3
38,38,45,19,9,0.016,0.003,5.333,0.005,5.440,3
39,38,45,19,9,0.016,0.023,5.552,0.027,5.708,3
40,38,45,19,9,0.016,0.004,5.386,0.003,5.491,3
41,38,45,19,9,0.016,0.005,5.570,0.019,5.691,3
42,38,45,19,9,0.018,0.007,5.586,0.015,5.714,3
43,38,45,19,9,0.017,0.006,5.448,0.003,5.564,3
44,38,45,19,9,0.018,0.007,5.462,0.004,5.577,3
45,38,45,19,9,0.016,0.006,5.534,0.024,5.671,3
46,38,45,19,9,0.016,0.005,5.491,0.020,5.618,3
47,38,45,19,9,0.023,0.006,5.474,0.003,5.608,3
48,38,45,19,9,0.016,0.006,5.614,0.003,5.740,3
49,38,45,19,9,0.016,0.004,5.595,0.004,5.722,3
50,38,45,19,9,0.016,0.006,5.525,0.003,5.637,3
51,38,45,19,9,0.017,0.007,6.073,0.020,6.220,3
52,38,45,19,9,0.019,0.007,5.620,0.007,5.758,3
53,38,45,19,9,0.017,0.005,5.526,0.028,5.664,3
54,38,45,19,9,0.017,0.005,5.499,0.003,5.611,3
55,38,45,19,9,0.018,0.007,5.902,0.021,6.043,3
56,38,45,19,9,0.017,0.005,5.510,0.024,5.643,3
57,38,45,19,9,0.020,0.005,5.555,0.005,5.676,3
58,38,45,19,9,0.016,0.005,5.464,0.003,5.581,3
59,38,45,19,9,0.019,0.004,5.688,0.021,5.814,3
60,38,45,19,9,0.015,0.007,5.707,0.004,5.821,3
61,38,45,19,9,0.019,0.006,5.525,0.003,5.643,3
62,38,45,19,9,0.016,0.008,5.492,0.004,5.620,3
63,38,45,19,9,0.016,0.007,5.461,0.005,5.598,3
64,38,45,19,9,0.016,0.005,5.575,0.005,5.699,3
65,38,45,19,9,0.018,0.005,5.550,0.025,5.684,3
66,38,45,19,9,0.019,0.007,5.561,0.006,5.694,3
67,38,45,19,9,0.017,0.005,5.796,0.025,5.928,3
68,38,45,19,9,0.018,0.023,5.355,0.006,5.493,3
69,38,45,19,9,0.018,0.007,5.509,0.003,5.619,3
70,38,45,19,9,0.017,0.005,5.392,0.025,5.526,3
